JURISDICTION,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG._ASSAULT,B_AND_E,LARCENY_THEFT,M_V_THEFT,GRAND_TOTAL,PERCENT_CHANGE,VIOLENT_CRIME_TOTAL,VIOLENT_CRIME_PERCENT,VIOLENT_CRIME_PERCENT_CHANGE,PROPERTY_CRIME_TOTALS,PROPERTY_CRIME_PERCENT,PROPERTY_CRIME_PERCENT_CHANGE,"OVERALL_CRIME_RATE_PER_100,000_PEOPLE","OVERALL_PERCENT_CHANGE_PER_100,000_PEOPLE","VIOLENT_CRIME_RATE_PER_100,000_PEOPLE","VIOLENT_CRIME_RATE_PERCENT_CHANGE_PER_100,000_PEOPLE","PROPERTY_CRIME_RATE_PER_100,000_PEOPLE","PROPERTY_CRIME_RATE_PERCENT_CHANGE_PER_100,000_PEOPLE","MURDER_PER_100,000_PEOPLE","RAPE_PER_100,000_PEOPLE","ROBBERY_PER_100,000_PEOPLE","AGG._ASSAULT_PER_100,000_PEOPLE","B_AND_E_PER_100,000_PEOPLE","LARCENY_THEFT_PER_100,000_PEOPLE","M_V_THEFT_PER_100,000_PEOPLE","MURDER__RATE_PERCENT_CHANGE_PER_100,000_PEOPLE","RAPE_RATE_PERCENT_CHANGE_PER_100,000_PEOPLE","ROBBERY_RATE_PERCENT_CHANGE_PER_100,000_PEOPLE","AGG._ASSAULT__RATE_PERCENT_CHANGE_PER_100,000_PEOPLE","B_AND_E_RATE_PERCENT_CHANGE_PER_100,000_PEOPLE","LARCENY_THEFT__RATE_PERCENT_CHANGE_PER_100,000_PEOPLE","M_V_THEFT__RATE_PERCENT_CHANGE_PER_100,000_PEOPLE",PERCENT_CHANGE_CALC,DIFFERENCE,CRIME_RATE,VIOLENT_RATIO
Garrett County,1989,27320,1,8,1,117,192,304,53,676,10.81967213114754,127,18.8,74.0,549,81.2,2.2,2474.4,9.7,464.9,72.2,2009.5,1.2,3.7,29.3,3.7,428.3,702.8,1112.7,194.0,-1.0,163.9,-50.5,72.8,3.3,-7.1,80.9,10.81967213114754,-0.019672131147538963,0.02474377745241581,0.1878698224852071
Garrett County,1990,28138,1,4,4,95,153,328,40,625,-7.544378698224852,104,16.6,-18.1,521,83.4,-5.1,2221.2,-10.2,369.6,-20.5,1851.6,-7.9,3.6,14.2,14.2,337.6,543.7,1165.7,142.2,-2.9,-51.5,288.4,-21.2,-22.6,4.8,-26.7,-7.544378698224852,0.04437869822485219,0.022211955362854502,0.1664
Garrett County,1991,28599,2,8,2,66,159,316,35,588,-5.9200000000000035,78,13.3,-25.0,510,86.7,-2.1,2056.0,-7.4,272.7,-26.2,1783.3,-3.7,7.0,28.0,7.0,230.8,556.0,1104.9,122.4,96.8,96.8,-50.8,-31.6,2.2,-5.2,-13.9,-5.9200000000000035,0.020000000000003126,0.02056015944613448,0.1326530612244898
Garrett County,1992,28881,0,5,3,83,158,359,25,633,7.653061224489788,91,14.4,16.7,542,85.6,6.3,2191.8,6.6,315.1,15.5,1876.7,5.2,0.0,17.3,10.4,287.4,547.1,1243.0,86.6,-100.0,-38.1,48.5,24.5,-1.6,12.5,-29.3,7.653061224489788,0.046938775510212416,0.021917523631453203,0.14375987361769352
Garrett County,1993,29306,1,3,4,42,187,449,20,706,11.532385466034745,50,7.1,-45.1,656,92.9,21.0,2409.1,9.9,170.6,-45.9,2238.4,19.3,3.4,10.2,13.6,143.3,638.1,1532.1,68.2,341.2,-40.9,31.4,-50.1,16.6,23.3,-21.2,11.532385466034745,-0.03238546603474468,0.02409062990513888,0.0708215297450425
Garrett County,1994,29546,0,6,3,47,186,383,32,657,-6.940509915014159,56,8.5,12.0,601,91.5,-8.4,2223.7,-7.7,189.5,11.1,2034.1,-9.1,0.0,20.3,10.2,159.1,629.5,1296.3,108.3,-100.0,98.4,-25.6,11.0,-1.3,-15.4,58.7,-6.940509915014159,0.04050991501415879,0.022236512556691262,0.0852359208523592
Garrett County,1995,29582,1,5,0,51,139,363,35,594,-9.589041095890416,57,9.6,1.8,537,90.4,-10.6,2008.0,-9.7,192.7,1.7,1815.3,-10.8,3.4,16.9,0.0,172.4,469.9,1227.1,118.3,338.0,-16.8,-100.0,8.4,-25.4,-5.3,9.2,-9.589041095890416,-0.010958904109584111,0.02007977824352647,0.09595959595959595
Garrett County,1996,29757,1,3,2,31,148,387,19,591,-0.5050505050505083,37,6.3,-35.1,554,93.7,3.2,1986.1,-1.1,124.3,-35.5,1861.7,2.6,3.4,10.1,6.7,104.2,497.4,1300.5,63.9,-0.6,-40.4,670.0,-39.6,5.8,6.0,-46.0,-0.5050505050505083,0.005050505050508303,0.019860873071882248,0.06260575296108291
Garrett County,1997,29885,0,13,3,55,160,367,26,624,5.583756345177671,71,11.4,91.9,553,88.6,-0.2,2088.0,5.1,237.6,91.1,1850.4,-0.6,0.0,43.5,10.0,184.0,535.4,1228.0,87.0,-100.0,331.5,49.4,76.7,7.6,-5.6,36.3,5.583756345177671,0.016243654822329034,0.020880040153923373,0.11378205128205128
Garrett County,1998,29749,0,8,1,23,181,363,25,601,-3.685897435897434,32,5.3,-54.9,569,94.7,2.9,2020.2,-3.2,107.6,-54.7,1912.7,3.4,0.0,26.9,3.4,77.3,608.4,1220.2,84.0,0.0,-38.2,-66.5,-58.0,13.6,-0.6,-3.4,-3.685897435897434,-0.014102564102566273,0.020202359743184645,0.05324459234608985
Garrett County,1999,29448,0,4,5,21,141,321,25,517,-13.976705490848584,30,5.8,-6.3,487,94.2,-14.4,1755.6,-13.1,101.9,-5.3,1653.8,-13.5,0.0,13.6,17.0,71.3,478.8,1090.1,84.9,0.0,-49.5,405.1,-7.8,-21.3,-10.7,1.0,-13.976705490848584,-0.023294509151416065,0.017556370551480575,0.058027079303675046
Garrett County,2000,29846,1,6,0,39,127,349,32,554,7.156673114119916,46,8.3,53.3,508,91.7,4.3,1856.2,5.7,154.1,51.3,1702.1,2.9,3.4,20.1,0.0,130.7,425.5,1169.3,107.2,335.1,48.0,-100.0,83.2,-11.1,7.3,26.3,7.156673114119916,0.043326885880084376,0.018561951350264692,0.08303249097472924
Garrett County,2001,30289,1,5,4,17,124,397,22,570,2.8880866425992746,27,4.7,-41.3,543,95.3,6.9,1881.9,1.4,89.1,-42.2,1792.7,5.3,3.3,16.5,13.2,56.1,409.4,1310.7,72.6,-1.5,-17.9,1320.0,-57.0,-3.8,12.1,-32.3,2.8880866425992746,0.0119133574007253,0.0188187130641487,0.04736842105263158
Garrett County,2002,30757,0,2,1,41,104,367,22,537,-5.789473684210522,44,8.2,63.0,493,91.8,-9.2,1745.9,-7.2,143.1,60.5,1602.9,-10.6,0.0,6.5,3.3,133.3,338.1,1193.2,71.5,-100.0,-60.6,-75.4,137.5,-17.4,-9.0,-1.5,-5.789473684210522,-0.010526315789477714,0.01745944012745066,0.08193668528864059
Garrett County,2003,30156,0,7,1,38,118,396,22,582,8.379888268156432,46,7.9,4.5,536,92.1,8.7,1930.0,10.5,152.5,6.6,1777.4,10.9,0.0,23.2,3.3,126.0,391.3,1313.2,73.0,0.0,257.0,2.0,-5.5,15.7,10.1,2.0,8.379888268156432,0.020111731843568847,0.019299641862315958,0.07903780068728522
Garrett County,2004,30317,1,0,2,52,100,320,16,491,-15.63573883161512,55,11.2,19.6,436,88.8,-18.7,1619.6,-16.1,181.4,18.9,1438.1,-19.1,3.3,0.0,6.6,171.5,329.8,1055.5,52.8,329.8,-100.0,98.9,36.1,-15.7,-19.6,-27.7,-15.63573883161512,0.03573883161512015,0.01619553385889105,0.1120162932790224
Garrett County,2005,30353,0,4,1,57,136,312,19,529,7.7393075356415375,62,11.7,12.7,467,88.3,7.1,1742.8,7.6,204.3,12.6,1538.6,7.0,0.0,13.2,3.3,187.8,448.1,1027.9,62.6,-100.0,1317.8,-50.1,9.5,35.8,-2.6,18.6,7.7393075356415375,-0.03930753564153733,0.01742826079794419,0.11720226843100189
Garrett County,2006,29991,2,7,3,51,156,346,22,587,10.964083175803395,63,10.7,1.6,524,89.3,12.2,1957.3,12.3,210.1,2.8,1747.2,13.6,6.7,23.3,10.0,170.1,520.2,1153.7,73.4,666.9,77.1,203.6,-9.4,16.1,12.2,17.2,10.964083175803395,0.03591682419660458,0.019572538428195126,0.10732538330494037
Garrett County,2007,29619,0,6,2,56,161,359,26,610,3.918228279386704,64,10.5,1.6,546,89.5,4.2,2059.5,5.2,216.1,2.9,1843.4,5.5,0.0,20.3,6.8,189.1,543.6,1212.1,87.8,-100.0,-13.2,-32.5,11.2,4.5,5.1,19.7,3.918228279386704,-0.018228279386704127,0.020594888416219318,0.10491803278688525
Garrett County,2008,29391,2,2,5,62,171,341,29,612,0.3278688524590123,71,11.6,10.9,541,88.4,-0.9,2082.3,1.1,241.6,11.8,1840.7,-0.1,6.8,6.8,17.0,210.9,581.8,1160.2,98.7,680.5,-66.4,151.9,11.6,7.0,-4.3,12.4,0.3278688524590123,-0.027868852459012328,0.02082270082678371,0.11601307189542484
Garrett County,2009,29830,0,4,1,63,170,322,14,574,-6.209150326797386,68,11.8,-4.2,506,88.2,-6.5,1924.2,-7.6,228.0,-5.6,1696.3,-7.8,0.0,13.4,3.4,211.2,569.9,1079.5,46.9,-100.0,97.1,-80.3,0.1,-2.0,-7.0,-52.4,-6.209150326797386,0.009150326797385588,0.019242373449547434,0.11846689895470383
Garrett County,2010,29696,1,2,2,44,158,299,26,532,-7.317073170731703,49,9.2,-27.9,483,90.8,-4.5,1791.5,-6.9,165.0,-27.6,1626.5,-4.1,3.4,6.7,6.7,148.2,532.1,1006.9,87.6,336.7,-49.8,100.9,-29.8,-6.6,-6.7,86.6,-7.317073170731703,0.017073170731703335,0.017914870689655173,0.09210526315789473
Garrett County,2011,30382,2,5,3,60,190,339,22,621,16.729323308270683,70,11.3,42.9,551,88.7,14.1,2044.0,14.1,230.4,39.6,1813.6,11.5,6.6,16.5,9.9,197.5,625.4,1115.8,72.4,95.5,144.4,46.6,33.3,17.5,10.8,-17.3,16.729323308270683,-0.029323308270683413,0.020439734053057733,0.11272141706924316
Garrett County,2012,30341,1,1,5,64,164,351,25,611,-1.6103059581320411,71,11.6,1.4,540,88.4,-2.0,2013.8,-1.5,234.0,1.6,1779.8,-1.9,3.3,3.3,16.5,210.9,540.5,1156.9,82.4,-49.9,-80.0,66.9,6.8,-13.6,3.7,13.8,-1.6103059581320411,0.010305958132041049,0.020137767377476024,0.11620294599018004
Garrett County,2013,29839,0,2,5,121,174,375,23,700,14.566284779050731,128,18.3,80.3,572,81.7,5.9,2345.9,16.5,429.0,83.3,1917.0,7.7,0.0,6.7,16.8,405.5,583.1,1256.7,77.1,-100.0,103.4,1.7,92.2,7.9,8.6,-6.5,14.566284779050731,0.0337152209492686,0.023459231207480145,0.18285714285714286
Garrett County,2014,29897,0,6,1,61,142,298,15,523,-25.28571428571429,68,13.0,-46.9,455,87.0,-20.5,1749.3,-25.4,227.4,-47.0,1521.9,-20.6,0.0,20.1,3.3,204.0,475.0,996.8,50.2,0.0,199.4,-80.0,-49.7,-18.5,-20.7,-34.9,-25.28571428571429,-0.014285714285712459,0.017493393986018665,0.13001912045889102
Garrett County,2015,29487,0,8,4,46,142,312,9,521,-0.3824091778202643,58,11.1,-14.7,463,88.9,1.8,1766.9,1.0,196.7,-13.5,1570.2,3.2,0.0,27.1,13.6,156.0,481.6,1058.1,30.5,0.0,35.2,305.6,-23.5,1.4,6.2,-39.2,-0.3824091778202643,-0.017590822179735732,0.01766880320141079,0.11132437619961612
Garrett County,2016,29166,0,6,2,52,84,277,14,435,-16.50671785028791,60,13.8,3.4,375,86.2,-19.0,1491.5,-15.6,205.7,4.6,1285.7,-18.1,0.0,20.6,6.9,178.3,288.0,949.7,48.0,0.0,-24.2,-49.4,14.3,-40.2,-10.2,57.3,-16.50671785028791,0.006717850287909499,0.014914626620037029,0.13793103448275862
Garrett County,2017,29299,0,3,2,48,141,288,10,492,13.103448275862073,53,10.8,-11.7,439,89.2,17.1,1679.2,12.6,180.9,-12.1,1498.3,16.5,0.0,10.2,6.8,163.8,481.2,983.0,34.1,0.0,-50.2,-0.5,-8.1,67.1,3.5,-28.9,13.103448275862073,-0.0034482758620733023,0.016792381992559474,0.10772357723577236
Garrett County,2018,28874,0,13,2,55,106,215,15,406,-17.479674796747968,70,17.2,32.1,336,82.8,-23.5,1406.1,-16.3,242.4,34.0,1163.7,-22.3,0.0,45.0,6.9,190.5,367.1,744.6,51.9,0.0,339.7,1.5,16.3,-23.7,-24.2,52.2,-17.479674796747968,-0.020325203252031798,0.014061093024866663,0.1724137931034483
Garrett County,2019,28898,0,18,0,61,65,283,5,432,6.403940886699511,79,18.3,12.9,353,81.7,5.1,1494.9,6.3,273.4,12.8,1221.5,5.0,0.0,62.3,0.0,211.1,224.9,979.3,17.3,0.0,38.3,-100.0,10.8,-38.7,31.5,-66.7,6.403940886699511,-0.003940886699510315,0.01494913142778047,0.18287037037037038
Garrett County,2020,28797,2,8,1,53,66,215,12,357,-17.361111111111114,64,17.9,-19.0,293,82.1,-17.0,1239.7,-17.1,222.2,-18.7,1017.5,-16.7,6.9,27.8,3.5,184.0,229.2,746.6,41.7,0.0,-55.4,350.0,-12.8,1.9,-23.8,140.8,-17.361111111111114,-0.03888888888888431,0.012397124700489634,0.1792717086834734
Harford County,1975,129059,6,29,150,315,1402,3439,255,5596,,500,8.9,-19.0,5096,91.1,-17.0,4336.0,-17.1,387.4,-18.7,3948.6,-16.7,4.6,22.5,116.2,244.1,1086.3,2664.7,197.6,0.0,-55.4,350.0,-12.8,1.9,-23.8,140.8,,,0.0433600136371737,0.08934953538241601
Harford County,1976,136805,2,37,78,349,1498,3576,242,5782,3.3238027162258765,466,8.1,-6.8,5316,91.9,4.3,4226.5,-2.5,340.6,-12.1,3885.8,-1.6,1.5,27.0,57.0,255.1,1095.0,2613.9,176.9,-68.6,20.4,-50.9,4.5,0.8,-1.9,-10.5,3.3238027162258765,-0.023802716225876708,0.042264537114871534,0.08059494984434452
Harford County,1977,140650,2,43,115,388,1575,3427,241,5791,0.15565548253200223,548,9.5,17.6,5243,90.5,-1.4,4117.3,-2.6,389.6,14.4,3727.7,-4.1,1.4,30.6,81.8,275.9,1119.8,2436.5,171.3,-2.7,13.0,43.4,8.1,2.3,-6.8,-3.1,0.15565548253200223,0.04434451746799778,0.041173124777817274,0.09462959765152823
Harford County,1978,146556,3,23,102,344,1651,3284,303,5710,-1.3987221550682105,472,8.3,-13.9,5238,91.7,-0.1,3896.1,-5.4,322.1,-17.3,3574.1,-4.1,2.0,15.7,69.6,234.7,1126.5,2240.8,206.7,44.0,-48.7,-14.9,-14.9,0.6,-8.0,20.7,-1.3987221550682105,-0.0012778449317893958,0.03896121619039821,0.08266199649737303
Harford County,1979,146422,8,27,129,309,1731,3235,353,5792,1.436077057793339,473,8.2,0.2,5319,91.8,1.5,3955.7,1.5,323.0,0.3,3632.7,1.6,5.5,18.4,88.1,211.0,1182.2,2209.4,241.1,166.9,17.5,26.6,-10.1,4.9,-1.4,16.6,1.436077057793339,-0.03607705779333914,0.039556897187581104,0.08166436464088397
Harford County,1980,144340,3,26,109,336,1989,3374,282,6119,5.645718232044206,474,7.7,0.2,5645,92.3,6.1,4239.3,7.2,328.4,1.7,3910.9,7.7,2.1,18.0,75.5,232.8,1378.0,2337.5,195.4,-62.0,-2.3,-14.3,10.3,16.6,5.8,-19.0,5.645718232044206,-0.045718232044206,0.04239296106415408,0.07746363784932178
Harford County,1981,146708,6,32,138,307,1837,3326,241,5887,-3.791469194312791,483,8.2,1.9,5404,91.8,-4.3,4012.7,-5.3,329.2,0.3,3683.5,-5.8,4.1,21.8,94.1,209.3,1252.1,2267.1,164.3,96.8,21.1,24.6,-10.1,-9.1,-3.0,-15.9,-3.791469194312791,-0.008530805687208876,0.04012732775308776,0.08204518430439953
Harford County,1982,146846,6,22,100,320,1332,3173,226,5179,-12.026499065738072,448,8.7,-7.2,4731,91.3,-12.5,3526.8,-12.1,305.1,-7.3,3221.7,-12.5,4.1,15.0,68.1,217.9,907.1,2160.8,153.9,-0.1,-31.3,-27.6,4.1,-27.6,-4.7,-6.3,-12.026499065738072,0.026499065738072147,0.035268240197213405,0.08650318594323228
Harford County,1983,148188,7,23,100,215,1067,2650,230,4292,-17.126858466885498,345,8.0,-23.0,3947,92.0,-16.6,2896.3,-17.9,232.8,-23.7,2663.5,-17.3,4.7,15.5,67.5,145.1,720.0,1788.3,155.2,15.6,3.6,-0.9,-33.4,-20.6,-17.2,0.8,-17.126858466885498,0.026858466885496313,0.028963208896806758,0.08038210624417522
Harford County,1984,151550,2,22,77,312,1155,2605,236,4409,2.726001863932903,413,9.4,19.7,3996,90.6,1.2,2909.3,0.4,272.5,17.1,2636.8,-1.0,1.3,14.5,50.8,205.9,762.1,1718.9,155.7,-72.1,-6.5,-24.7,41.9,5.8,-3.9,0.3,2.726001863932903,-0.026001863932902936,0.029092708677004288,0.09367203447493763
Harford County,1985,152381,2,47,73,425,1314,2627,294,4782,8.459968246767978,547,11.4,32.4,4235,88.6,6.0,3138.2,7.9,359.0,31.7,2779.2,5.4,1.3,30.8,47.9,278.9,862.3,1724.0,192.9,-0.5,112.5,-5.7,35.5,13.1,0.3,23.9,8.459968246767978,0.04003175323202157,0.03138186519316713,0.11438728565453785
Harford County,1986,154882,5,53,77,542,1226,3120,403,5426,13.467168548724384,677,12.5,23.8,4749,87.5,12.1,3503.3,11.6,437.1,21.8,3066.2,10.3,3.2,34.2,49.7,349.9,791.6,2014.4,260.2,146.0,10.9,3.8,25.5,-8.2,16.8,34.9,13.467168548724384,0.03283145127561582,0.03503312198964373,0.12476962771839292
Harford County,1987,160945,9,35,115,533,1283,3265,380,5620,3.5753778105418466,692,12.3,2.2,4928,87.7,3.8,3491.9,-0.3,430.0,-1.6,3061.9,-0.1,5.6,21.7,71.5,331.2,797.2,2028.6,236.1,73.2,-36.4,43.7,-5.4,0.7,0.7,-9.3,3.5753778105418466,0.02462218945815353,0.0349187610674454,0.12313167259786477
Harford County,1988,167646,10,30,120,565,1419,3373,358,5875,4.5373665480427094,725,12.3,4.8,5150,87.7,4.5,3504.4,0.4,432.5,0.6,3071.9,0.3,6.0,17.9,71.6,337.0,846.4,2012.0,213.5,6.7,-17.7,0.2,1.8,6.2,-0.8,-9.6,4.5373665480427094,-0.037366548042709447,0.035044080980160576,0.12340425531914893
Harford County,1989,173062,11,38,105,416,1422,3225,317,5534,-5.804255319148933,570,10.3,-21.4,4964,89.7,-3.6,3197.7,-8.8,329.4,-23.8,2868.3,-6.6,6.4,22.0,60.7,240.4,821.7,1863.5,183.2,6.6,22.7,-15.2,-28.7,-2.9,-7.4,-14.2,-5.804255319148933,0.004255319148932735,0.0319769793484416,0.1029996385977593
Harford County,1990,182132,6,45,107,431,1503,3321,338,5751,3.9212143115287423,589,10.2,3.3,5162,89.8,4.0,3157.6,-1.3,323.4,-1.8,2834.2,-1.2,3.3,24.7,58.7,236.6,825.2,1823.4,185.6,-48.2,12.5,-3.2,-1.6,0.4,-2.2,1.3,3.9212143115287423,-0.021214311528742424,0.03157599982430325,0.1024169709615719
Harford County,1991,185120,3,53,110,485,1580,4061,430,6722,16.884020170405158,651,9.7,10.5,6071,90.3,17.6,3631.2,15.0,351.7,8.7,3279.5,15.7,1.6,28.6,59.4,262.0,853.5,2193.7,232.3,-50.8,15.9,1.1,10.7,3.4,20.3,25.2,16.884020170405158,0.015979829594840567,0.036311581676750214,0.09684617673311514
Harford County,1992,186946,6,45,116,436,1435,3666,349,6053,-9.952395120499846,603,10.0,-7.4,5450,90.0,-10.2,3237.8,-10.8,322.6,-8.3,2915.3,-11.1,3.2,24.1,62.1,233.2,767.6,1961.0,186.7,98.0,-15.9,4.4,-11.0,-10.1,-10.6,-19.6,-9.952395120499846,-0.04760487950015424,0.0323783338504167,0.09962002312902693
Harford County,1993,197399,0,58,84,397,1315,3500,326,5680,-6.162233603171985,539,9.5,-10.6,5141,90.5,-5.7,2877.4,-11.1,273.1,-15.3,2604.4,-10.7,0.0,29.4,42.6,201.1,666.2,1773.1,165.1,-100.0,22.1,-31.4,-13.8,-13.2,-9.6,-11.5,-6.162233603171985,-0.0377663968280153,0.028774208582616933,0.0948943661971831
Harford County,1994,199021,6,34,123,418,1207,3678,403,5869,3.327464788732404,581,9.9,7.8,5288,90.1,2.9,2948.9,2.5,291.9,6.9,2657.0,2.0,3.0,17.1,61.8,210.0,606.5,1848.0,202.5,301.5,-41.9,45.2,4.4,-9.0,4.2,22.6,3.327464788732404,-0.02746478873240399,0.02948935037006145,0.09899471800988244
Harford County,1995,203438,5,64,151,418,1145,3851,345,5979,1.874254557846311,638,10.7,9.8,5341,89.3,1.0,2939.0,-0.3,313.6,7.4,2625.4,-1.2,2.5,31.5,74.2,205.5,562.8,1893.0,169.6,-18.5,84.1,20.1,-2.2,-7.2,2.4,-16.3,1.874254557846311,0.025745442153688902,0.029389789518182444,0.10670680715838769
Harford County,1996,204646,6,51,134,363,1317,3946,399,6216,3.9638735574510697,554,8.9,-13.2,5662,91.1,6.0,3037.4,3.4,270.7,-13.7,2766.7,5.4,2.9,24.9,65.5,177.4,643.6,1928.2,195.0,19.3,-20.8,-11.8,-13.7,14.3,1.9,15.0,3.9638735574510697,0.03612644254893027,0.030374402626975362,0.08912483912483912
Harford County,1997,205533,3,52,171,427,1182,3818,336,5989,-3.6518661518661566,653,10.9,17.9,5336,89.1,-5.8,2913.9,-4.1,317.7,17.4,2596.2,-6.2,1.5,25.3,83.2,207.8,575.1,1857.6,163.5,-50.2,1.5,27.1,17.1,-10.6,-3.7,-16.2,-3.6518661518661566,-0.04813384813384358,0.029138873076342973,0.10903322758390382
Harford County,1998,214271,9,24,147,358,936,3668,403,5545,-7.41359158457171,538,9.7,-17.6,5007,90.3,-6.2,2587.8,-11.2,251.1,-21.0,2336.8,-10.0,4.2,11.2,68.6,167.1,436.8,1711.9,188.1,187.8,-55.7,-17.5,-19.6,-24.0,-7.8,15.0,-7.41359158457171,0.013591584571710058,0.02587844365313085,0.09702434625788998
Harford County,1999,216208,6,34,146,377,936,3582,359,5440,-1.8935978358881833,563,10.3,4.6,4877,89.7,-2.6,2516.1,-2.8,260.4,3.7,2255.7,-3.5,2.8,15.7,67.5,174.4,432.9,1656.7,166.0,-33.9,40.4,-1.6,4.4,-0.9,-3.2,-11.7,-1.8935978358881833,-0.0064021641118165995,0.02516095611633242,0.10349264705882352
Harford County,2000,218590,4,31,167,419,921,3590,358,5490,0.9191176470588314,621,11.3,10.3,4869,88.7,-0.2,2511.6,-0.2,284.1,9.1,2227.5,-1.3,1.8,14.2,76.4,191.7,421.3,1642.3,163.8,-34.1,-9.8,13.1,9.9,-2.7,-0.9,-1.4,0.9191176470588314,-0.019117647058831344,0.025115513060981746,0.11311475409836065
Harford County,2001,221837,2,31,191,453,1274,4005,414,6370,16.029143897996367,677,10.6,9.0,5693,89.4,16.9,2871.5,14.3,305.2,7.4,2566.3,15.2,0.9,14.0,86.1,204.2,574.3,1805.4,186.6,-50.7,-1.5,12.7,6.5,36.3,9.9,13.9,16.029143897996367,-0.02914389799636652,0.028714777066043987,0.10627943485086343
Harford County,2002,225262,5,45,237,554,1150,4477,438,6906,8.414442700156988,841,12.2,24.2,6065,87.8,6.5,3065.8,6.8,373.3,22.3,2692.4,4.9,2.2,20.0,105.2,245.9,510.5,1987.5,194.4,146.2,43.0,22.2,20.4,-11.1,10.1,4.2,8.414442700156988,-0.014442700156987343,0.030657634221484317,0.12177816391543585
Harford County,2003,229831,5,46,248,657,1082,3857,330,6225,-9.860990443092966,956,15.4,13.7,5269,84.6,-13.1,2708.5,-11.7,416.0,11.4,2292.6,-14.9,2.2,20.0,107.9,285.9,470.8,1678.2,143.6,-2.0,0.2,2.6,16.2,-7.8,-15.6,-26.2,-9.860990443092966,-0.03900955690703434,0.02708511906574831,0.153574297188755
Harford County,2004,234246,3,45,214,623,1112,3836,413,6246,0.33734939759035854,885,14.2,-7.4,5361,85.8,1.7,2666.4,-1.6,377.8,-9.2,2288.6,-0.2,1.3,19.2,91.4,266.0,474.7,1637.6,176.3,-41.1,-4.0,-15.3,-7.0,0.8,-2.4,22.8,0.33734939759035854,-0.037349397590358546,0.02666427601752004,0.14169068203650337
Harford County,2005,237388,2,30,193,620,961,3591,359,5756,-7.845020813320525,845,14.7,-4.5,4911,85.3,-8.4,2424.7,-9.1,356.0,-5.8,2068.8,-9.6,0.8,12.6,81.3,261.2,404.8,1512.7,151.2,-34.2,-34.2,-11.0,-1.8,-14.7,-7.6,-14.2,-7.845020813320525,0.045020813320524766,0.02424722395403306,0.14680333564975678
Harford County,2006,239914,9,36,202,579,990,3332,437,5585,-2.9708130646282194,826,14.8,-2.2,4759,85.2,-3.1,2327.9,-4.0,344.3,-3.3,1983.6,-4.1,3.8,15.0,84.2,241.3,412.6,1388.8,182.1,345.3,18.7,3.6,-7.6,1.9,-8.2,20.4,-2.9708130646282194,-0.02918693537178063,0.02327917503772185,0.14789615040286483
Harford County,2007,242818,8,50,212,663,1097,3453,467,5950,6.535362578334825,933,15.7,13.0,5017,84.3,5.4,2450.4,5.3,384.2,11.6,2066.2,4.2,3.3,20.6,87.3,273.0,451.8,1422.1,192.3,-12.2,37.2,3.7,13.1,9.5,2.4,5.6,6.535362578334825,-0.03536257833482459,0.02450394946008945,0.15680672268907564
Harford County,2008,240963,6,66,245,562,1155,3663,403,6100,2.5210084033613356,879,14.4,-5.8,5221,85.6,4.1,2531.5,3.3,364.8,-5.1,2166.7,4.9,2.5,27.4,101.7,233.2,479.3,1520.2,167.2,-24.4,33.0,16.5,-14.6,6.1,6.9,-13.0,2.5210084033613356,-0.02100840336133558,0.025315089868569035,0.1440983606557377
Harford County,2009,243988,4,60,228,592,809,3482,251,5426,-11.049180327868857,884,16.3,0.6,4542,83.7,-13.0,2223.9,-12.2,362.3,-0.7,1861.6,-14.1,1.6,24.6,93.4,242.6,331.6,1427.1,102.9,-34.2,-10.2,-8.1,4.0,-30.8,-6.1,-38.5,-11.049180327868857,0.04918032786885718,0.022238798629440792,0.1629192775525249
Harford County,2010,246347,6,63,196,588,889,3377,236,5355,-1.3085145595281955,853,15.9,-3.5,4502,84.1,-0.9,2173.8,-2.3,346.3,-4.4,1827.5,-1.8,2.4,25.6,79.6,238.7,360.9,1370.8,95.8,48.6,4.0,-14.9,-1.6,8.8,-3.9,-6.9,-1.3085145595281955,0.008514559528195464,0.021737630253260646,0.15929038281979457
Harford County,2011,247147,5,39,148,451,779,2965,207,4594,-14.21101774042951,643,14.0,-24.6,3951,86.0,-12.2,1858.8,-14.5,260.2,-24.9,1598.6,-12.5,2.0,15.8,59.9,182.5,315.2,1199.7,83.8,-16.9,-38.3,-24.7,-23.5,-12.7,-12.5,-12.6,-14.21101774042951,0.011017740429510425,0.018588127713466074,0.13996517196343056
Harford County,2012,248869,3,54,156,484,1019,2806,206,4728,2.916848062690458,697,14.7,8.4,4031,85.3,2.0,1899.8,2.2,280.1,7.6,1619.7,1.3,1.2,21.7,62.7,194.5,409.5,1127.5,82.8,-40.4,37.5,4.7,6.6,29.9,-6.0,-1.2,2.916848062690458,-0.016848062690458132,0.018997946710920203,0.14741962774957698
Harford County,2013,250244,5,69,178,410,845,3087,131,4725,-0.06345177664974777,662,14.0,-5.0,4063,86.0,0.8,1888.2,-0.6,264.5,-5.5,1623.6,0.2,2.0,27.6,71.1,163.8,337.7,1233.6,52.3,65.8,27.1,13.5,-15.8,-17.5,9.4,-36.8,-0.06345177664974777,-0.036548223350252235,0.018881571586131934,0.1401058201058201
